epoch,accuracy,loss,val_accuracy,val_loss
0,0.37226682901382446,1.3275134563446045,0.4438040256500244,1.2768620252609253
1,0.6255189776420593,1.0171781778335571,0.6224783658981323,0.9689233303070068
2,0.7827290296554565,0.6175299882888794,0.6829971075057983,0.8318533301353455
3,0.849155843257904,0.42951875925064087,0.7089337110519409,0.7659887671470642
4,0.8787711262702942,0.34061580896377563,0.6772334575653076,0.806289553642273
5,0.8967617154121399,0.2840695381164551,0.6743515729904175,0.852259635925293
6,0.9216717481613159,0.2295469343662262,0.6945244669914246,0.8906760215759277
7,0.9407694339752197,0.19209347665309906,0.6829971075057983,0.9383737444877625
8,0.9451978802680969,0.16379106044769287,0.6743515729904175,1.0204302072525024
9,0.9570993781089783,0.1402408331632614,0.6829971075057983,1.0792344808578491
10,0.9606974720954895,0.13022521138191223,0.7002881765365601,1.101601243019104
11,0.9659562706947327,0.11357526481151581,0.6858789920806885,1.1284373998641968
12,0.9695543646812439,0.1027313694357872,0.7002881765365601,1.1670438051223755
13,0.9717686176300049,0.09689971059560776,0.6858789920806885,1.269486427307129
14,0.9692776203155518,0.09370573610067368,0.6714697480201721,1.260137915611267
15,0.9723221659660339,0.08951783180236816,0.6657060384750366,1.290917158126831
16,0.975089967250824,0.08038223534822464,0.6829971075057983,1.3062349557876587
17,0.9745364189147949,0.07714668661355972,0.6772334575653076,1.328382134437561
18,0.9745364189147949,0.07523830235004425,0.6858789920806885,1.4222131967544556
19,0.975643515586853,0.07560791075229645,0.6887608170509338,1.3921796083450317
20,0.9767506122589111,0.07437033951282501,0.6743515729904175,1.4269678592681885
21,0.9761970639228821,0.07046711444854736,0.6714697480201721,1.4254149198532104
22,0.977027416229248,0.060833897441625595,0.6685879230499268,1.463252305984497
23,0.9775809645652771,0.06276160478591919,0.6714697480201721,1.4984108209609985
24,0.9778577089309692,0.06333642452955246,0.6858789920806885,1.4710763692855835
